"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"InvestigationalMedicinalProduct","InvestigationalMedicinalProduct","","","",0,*,"","","","","","ISO 11615 Investigational Medicinal Product","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"InvestigationalMedicinalProduct.IMPID","InvestigationalMedicinalProduct.IMPID","","","",1,1,"","","","Identifier {[]} {[]}
","11.3.2.2.2","11.3.2.2.2","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.IMPID",1,1,"",""
"InvestigationalMedicinalProduct.CombinedPharmaceuticalDoseForm","InvestigationalMedicinalProduct.CombinedPharmaceuticalDoseForm","","","",0,1,"","","","CodeableConcept {[]} {[]}
","11.3.2.2.3","11.3.2.2.3","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.CombinedPharmaceuticalDoseForm",0,1,"",""
"InvestigationalMedicinalProduct.SponsorProductCode","InvestigationalMedicinalProduct.SponsorProductCode","","","",0,1,"","","","string {[]} {[]}
","11.3.2.2.4","11.3.2.2.4","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.SponsorProductCode",0,1,"",""
"InvestigationalMedicinalProduct.RegulatorProductCode","InvestigationalMedicinalProduct.RegulatorProductCode","","","",0,1,"","","","string {[]} {[]}
","11.3.2.2.5","11.3.2.2.5","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.RegulatorProductCode",0,1,"",""
"InvestigationalMedicinalProduct.PaediatricUseIndicator","InvestigationalMedicinalProduct.PaediatricUseIndicator","","","",0,1,"","","","CodeableConcept {[]} {[]}
","11.3.2.2.6","11.3.2.2.6","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.PaediatricUseIndicator",0,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialStatus","InvestigationalMedicinalProduct.ClinicalTrialStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","11.3.2.2.7","11.3.2.2.7","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialStatus",0,1,"",""
"InvestigationalMedicinalProduct.OrphanDesignationStatus","InvestigationalMedicinalProduct.OrphanDesignationStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","11.3.2.2.8","11.3.2.2.8","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.OrphanDesignationStatus",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument","InvestigationalMedicinalProduct.AttachedDocument","","","",1,*,"","","","BackboneElement {[]} {[]}
","11.3.2.6","11.3.2.6","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument",1,*,"",""
"InvestigationalMedicinalProduct.AttachedDocument.Identifier","InvestigationalMedicinalProduct.AttachedDocument.Identifier","","","",1,1,"","","","Identifier {[]} {[]}
","9.2.2.11.2","9.2.2.11.2","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Identifier",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.EffectiveDate","InvestigationalMedicinalProduct.AttachedDocument.EffectiveDate","","","",1,1,"","","","date {[]} {[]}
","9.2.2.11.3","9.2.2.11.3","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.EffectiveDate",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.Type","InvestigationalMedicinalProduct.AttachedDocument.Type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.11.4","9.2.2.11.4","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Type",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.Content","InvestigationalMedicinalProduct.AttachedDocument.Content","","","",1,1,"","","","base64Binary {[]} {[]}
","9.2.2.11.5","9.2.2.11.5","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Content",1,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.Language","InvestigationalMedicinalProduct.AttachedDocument.Language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.11.6","9.2.2.11.6","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.Language",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.MediaType","InvestigationalMedicinalProduct.AttachedDocument.MediaType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.11.7","9.2.2.11.7","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.MediaType",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.VersionNumber","InvestigationalMedicinalProduct.AttachedDocument.VersionNumber","","","",0,1,"","","","string {[]} {[]}
","9.2.2.11.8","9.2.2.11.8","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.VersionNumber",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument.VersionSetIdentifier","InvestigationalMedicinalProduct.AttachedDocument.VersionSetIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","9.2.2.11.9","9.2.2.11.9","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument.VersionSetIdentifier",0,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation","","","",1,*,"","","","BackboneElement {[]} {[]}
","11.4.2.2","11.4.2.2","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation",1,*,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.RegistrationNumber","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.RegistrationNumber","","","",1,1,"","","","Identifier {[]} {[]}
","11.4.2.2.2","11.4.2.2.2","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.RegistrationNumber",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.InvestigationCode","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.InvestigationCode","","","",1,1,"","","","string {[]} {[]}
","11.4.2.2.3","11.4.2.2.3","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.InvestigationCode",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.Country","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.Country","","","",1,*,"","","","CodeableConcept {[]} {[]}
","11.4.2.2.4","11.4.2.2.4","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.Country",1,*,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.ProtocolNumber","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.ProtocolNumber","","","",1,1,"","","","Identifier {[]} {[]}
","11.4.2.2.5","11.4.2.2.5","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.ProtocolNumber",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AuthorisationDate","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AuthorisationDate","","","",1,1,"","","","date {[]} {[]}
","11.4.2.2.6","11.4.2.2.6","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AuthorisationDate",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AnticipatedEndDate","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AnticipatedEndDate","","","",1,1,"","","","date {[]} {[]}
","11.4.2.2.7","11.4.2.2.7","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.AnticipatedEndDate",1,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation","InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation","","","",0,*,"","","","BackboneElement {[]} {[]}
","11.4.2.3","11.4.2.3","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialAuthorisation.LocalClinicalTrialAuthorisation",0,*,"",""
